domain,record_name,ttl,txt_string,rawText
3m.com,3m.com.,3600,google-site-verification=kZV1HQVTfYDnXRv2-lr9rWQ7w5pm8BDwR_oO66Jwu78\010,"3m.com. 3600 IN TXT ""google-site-verification=kZV1HQVTfYDnXRv2-lr9rWQ7w5pm8BDwR_oO66Jwu78\010"""
3m.com,3m.com.,3600,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com -all,"3m.com. 3600 IN TXT ""v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com -all"""
3m.com,3m.com.,3600,google-site-verification=O5R7rrbm6-bt5YN8S-Ct6E0i99zRbL-LQFd368n4QwQ,"3m.com. 3600 IN TXT ""google-site-verification=O5R7rrbm6-bt5YN8S-Ct6E0i99zRbL-LQFd368n4QwQ"""
3m.com,3m.com.,3600,6kv4dg79vvlcscja1ea9cp5ai,"3m.com. 3600 IN TXT ""6kv4dg79vvlcscja1ea9cp5ai"""
3m.com,3m.com.,3600,google-site-verification=5jizbRgBVEqWtN4gVpAF1c99lyi-jqtTzp4m6xDY160,"3m.com. 3600 IN TXT ""google-site-verification=5jizbRgBVEqWtN4gVpAF1c99lyi-jqtTzp4m6xDY160"""
3m.com,3m.com.,3600,facebook-domain-verification=k2inhxde42rbrf69avgc2g8ru1nkrz,"3m.com. 3600 IN TXT ""facebook-domain-verification=k2inhxde42rbrf69avgc2g8ru1nkrz"""
53.com,53.com.,144,MS=DB4B4400DE8511FD910129D9B561A9AAC6052E62,"53.com. 144 IN TXT ""MS=DB4B4400DE8511FD910129D9B561A9AAC6052E62"""
53.com,53.com.,144,gAI9GsN4jKw5HqV0ImvZGsGJkTidY9cyOcJPy8+FXRHa8ysGfUw3ZFV/SZUbXM4U/SwJBZ0MZaEUKA4D7/hygw==,"53.com. 144 IN TXT ""gAI9GsN4jKw5HqV0ImvZGsGJkTidY9cyOcJPy8+FXRHa8ysGfUw3ZFV/SZUbXM4U/SwJBZ0MZaEUKA4D7/hygw=="""
53.com,53.com.,144,citrix.mobile.ads.otp=9qwp1zgti5clryw8fo2c5,"53.com. 144 IN TXT ""citrix.mobile.ads.otp=9qwp1zgti5clryw8fo2c5"""
53.com,53.com.,144,google-site-verification=If2PSoGUBcXMrrUCjIMNVx0NDn2CYVEGd4w-U7-W3LM,"53.com. 144 IN TXT ""google-site-verification=If2PSoGUBcXMrrUCjIMNVx0NDn2CYVEGd4w-U7-W3LM"""
53.com,53.com.,144,ibmid=98bc9af9-59f8-448b-8b4e-e26e6204452a,"53.com. 144 IN TXT ""ibmid=98bc9af9-59f8-448b-8b4e-e26e6204452a"""
53.com,53.com.,144,MS=ms90581392,"53.com. 144 IN TXT ""MS=ms90581392"""
53.com,53.com.,144,cisco-ci-domain-verification=21092e5df31b8fed56199b03ab747f4c69d6973126e79af4b1aa1f2ddace2dc8,"53.com. 144 IN TXT ""cisco-ci-domain-verification=21092e5df31b8fed56199b03ab747f4c69d6973126e79af4b1aa1f2ddace2dc8"""
53.com,53.com.,144,jamf-site-verification=DJHtS2TmVDJVa7MNNOpBRQ,"53.com. 144 IN TXT ""jamf-site-verification=DJHtS2TmVDJVa7MNNOpBRQ"""
53.com,53.com.,144,pendo-domain-verification=iADp3ke1rcMR2cnWdY5XgmYeQNg,"53.com. 144 IN TXT ""pendo-domain-verification=iADp3ke1rcMR2cnWdY5XgmYeQNg"""
53.com,53.com.,144,adobe-idp-site-verification=47a3ed544a5df0d56db5a10110e355b077be7204f2520d7d7f29bebc145efb39,"53.com. 144 IN TXT ""adobe-idp-site-verification=47a3ed544a5df0d56db5a10110e355b077be7204f2520d7d7f29bebc145efb39"""
53.com,53.com.,144,record,"53.com. 144 IN TXT ""record"" ""h1-domain-verification=tT9r65oCprXEk2MjuPanwYoMeMyCRDtRv5jomHXAovPD25JH"""
