domain,spf_record,reasons,ip4,ip6,include,a,mx,ptr,exists,redirect
0-0000-0000-0000-5f64-fc32-compute005-vtr.groups.hotels.com,v=spf1 ip4:216.223.188.0/24 ip4:216.117.4.0/24 ip4:216.117.5.0/24 ip4:3.230.214.68/32 ip4:3.213.114.62/32 ip4:52.23.43.58/32 ip4:54.163.145.215/32 ip4:54.166.2.11/32 ip4:52.204.91.137/32 a mx include:mail.zendesk.com ~all,many_mechanisms,9,0,1,1,1,0,0,0
0-0000-0000-0000-5f64-fc3210-jafeb.groups.hotels.com,v=spf1 ip4:216.223.188.0/24 ip4:216.117.4.0/24 ip4:216.117.5.0/24 ip4:3.230.214.68/32 ip4:3.213.114.62/32 ip4:52.23.43.58/32 ip4:54.163.145.215/32 ip4:54.166.2.11/32 ip4:52.204.91.137/32 a mx include:mail.zendesk.com ~all,many_mechanisms,9,0,1,1,1,0,0,0
0-0000-0000-0000-6855-f960.groups.hotels.com,v=spf1 ip4:216.223.188.0/24 ip4:216.117.4.0/24 ip4:216.117.5.0/24 ip4:3.230.214.68/32 ip4:3.213.114.62/32 ip4:52.23.43.58/32 ip4:54.163.145.215/32 ip4:54.166.2.11/32 ip4:52.204.91.137/32 a mx include:mail.zendesk.com ~all,many_mechanisms,9,0,1,1,1,0,0,0
0-1.next.westlaw.com.prospero.0.yahoobix.com,v=spf1 ip6:fd1b:212c:a5f9::/48 -all,"suspicious_domain,deep_subdomain",0,1,0,0,0,0,0,0
0-74.205.58.110.topekalibraries.info,v=spf1 a ?all,"suspicious_domain,abused_tld_top",0,0,0,1,0,0,0,0
0-a.next.westlaw.com.ujlink.uj.ac.za,v=spf1 a -all,"suspicious_domain,deep_subdomain",0,0,0,1,0,0,0,0
0-admin-apps.isiknowledge.com.ujlink.uj.ac.za,v=spf1 a -all,"suspicious_domain,deep_subdomain",0,0,0,1,0,0,0,0
0-anthrosource.onlinelibrary.wiley.com.pacificatclassic.palsolidarity.org,v=spf1 include:u1884083.wl.sendgrid.net -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-anthrosource.onlinelibrary.wiley.com.skyline.ucdenver.edu,v=spf1 a -all,"suspicious_domain,deep_subdomain",0,0,0,1,0,0,0,0
0-apastylecentral.apa.org.oak.dm2.onprem.rocks,v=spf1 -all,"suspicious_domain,deep_subdomain",0,0,0,0,0,0,0,0
0-apps.webofknowledge.com.iii-server.cart.wb.com,v=spf1 a -all,"suspicious_domain,deep_subdomain",0,0,0,1,0,0,0,0
0-asmedl.aip.org.library.org.org.barakaban.org,v=spf1 include:_incspfcheck.mailspike.net -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-atb.grolier.com.aspen.ald.lib.co.us,v=spf1 a ?all,"suspicious_domain,deep_subdomain",0,0,0,1,0,0,0,0
0-aur.evanced.info.skyline.redbullmobile.com.au,v=spf1 ip6:fdcf:abda:4154::/48 -all,"suspicious_domain,deep_subdomain",0,1,0,0,0,0,0,0
0-bankruptcylaw.bna.com.gocat.law.irica.co,v=spf1 -all,"suspicious_domain,deep_subdomain",0,0,0,0,0,0,0,0
0-beallslist.weebly.com.tkplib01.tut.ac.za,v=spf1 a -all,"suspicious_domain,abused_tld_tk,deep_subdomain",0,0,0,1,0,0,0,0
0-bi.galegroup.com.midhudsonlibraries.org,v=spf1 a -all,"suspicious_domain,abused_tld_ga",0,0,0,1,0,0,0,0
0-broadcast-ipbroadcast-ipbroadcast-ip.ropercenter.uconn.edu.libraries.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-bs.webofknowledge.com.dewey2.library.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-c1.next.westlaw.com.library.kindersurprise.com.pl,v=spf1 a mx ~all,"suspicious_domain,deep_subdomain",0,0,0,1,1,0,0,0
0-c1.next.westlaw.com.skyline.irica.co,v=spf1 -all,"suspicious_domain,deep_subdomain",0,0,0,0,0,0,0,0
0-cases.timebase.com.au.catalogue.safaricomjazzfestival.co.ke,v=spf1 ip6:fd1b:212c:a5f9::/48 -all,"suspicious_domain,deep_subdomain",0,1,0,0,0,0,0,0
0-cdn.clinicalkey.com.elibrary.qatar-weill.staging.attconsumer.biz,v=spf1 ip6:fd1b:212c:a5f9::/48 -all,"suspicious_domain,deep_subdomain",0,1,0,0,0,0,0,0
0-checkpoint.riag.com.gull.www.yahoobix.com,v=spf1 ip6:fd1b:212c:a5f9::/48 -all,"suspicious_domain,deep_subdomain",0,1,0,0,0,0,0,0
0-checkpoint.riag.com.libtest.env.attconsumer.biz,v=spf1 ip6:fd1b:212c:a5f9::/48 -all,"suspicious_domain,deep_subdomain",0,1,0,0,0,0,0,0
0-checkpoint.riag.com.libweb.www.yahoobix.com,v=spf1 ip6:fd1b:212c:a5f9::/48 -all,"suspicious_domain,deep_subdomain",0,1,0,0,0,0,0,0
0-checkpoint.riag.com.sally.www.yahoobix.com,v=spf1 ip6:fd1b:212c:a5f9::/48 -all,"suspicious_domain,deep_subdomain",0,1,0,0,0,0,0,0
0-checkpoint.riag.com.umiss.lib.www.yahoobix.com,v=spf1 ip6:fd1b:212c:a5f9::/48 -all,"suspicious_domain,deep_subdomain",0,1,0,0,0,0,0,0
0-checkpoint.riag.com.wizard.umd.www.yahoobix.com,v=spf1 ip6:fd1b:212c:a5f9::/48 -all,"suspicious_domain,deep_subdomain",0,1,0,0,0,0,0,0
0-checkpoint.thomsonreuters.com.anzeiger-news.olinkserver.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-checkpoint.thomsonreuters.com.roslin.olinkserver.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-checkpoint.thomsonreuters.com.services-account-update-billing.olinkserver.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-checkpoint.thomsonreuters.com.signin.olinkserver.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-classic.ecco-jcc.oxfordjournals.org.skyline.platinet.com,v=spf1 -all,"suspicious_domain,deep_subdomain",0,0,0,0,0,0,0,0
0-classic.jipm.oxfordjournals.org.skyline.ucdenver.edu,v=spf1 a -all,"suspicious_domain,deep_subdomain",0,0,0,1,0,0,0,0
0-cli.sweetandmaxwell.co.uk.library.barakaban.barakaban.org,v=spf1 include:_incspfcheck.mailspike.net -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-coloradocollege.kanopystreaming.com.tiger.org.org.barakaban.org,v=spf1 include:_incspfcheck.mailspike.net -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customers.jisc.ac.uk.pugwash.lib.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.history.com.office.cibcpoc.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.houstin.webofknowledge.com.biblio.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.k8s-dev.webofknowledge.com.biblio.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.mascara1865.webofknowledge.com.biblio.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.ortsinfo.webofknowledge.com.biblio.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.page.webofknowledge.com.biblio.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.pressreader.webofknowledge.com.biblio.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.rizal.webofknowledge.com.biblio.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.ssl.webofknowledge.com.biblio.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.static.webofknowledge.com.biblio.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.travelrewards.webofknowledge.com.biblio.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
